Species	JanWk1	JanWk2	JanWk3	JanWk4	FebWk1	FebWk2	FebWk3	FebWk4	MarWk1	MarWk2	MarWk3	MarWk4	AprWk1	AprWk2	AprWk3	AprWk4	MayWk1	MayWk2	MayWk3	MayWk4	JunWk1	JunWk2	JunWk3	JunWk4	JulWk1	JulWk2	JulWk3	JulWk4	AugWk1	AugWk2	AugWk3	AugWk4	SepWk1	SepWk2	SepWk3	SepWk4	OctWk1	OctWk2	OctWk3	OctWk4	NovWk1	NovWk2	NovWk3	NovWk4	DecWk1	DecWk2	DecWk3	DecWk4	State
Williamson's Sapsucker	0.0012746	0.0011572	0.0009287	0.0006138	0.0020157	0.0005481	0.0009798	0.0007959	0.0005907	0.0009651	0.0017784	0.0010914	0.0009336	0.0009406	0.0011315	0.0011587	0.0014446	0.0025728	0.0016571	0.002692	0.0036177	0.0053023	0.0074906	0.0124592	0.0154115	0.0168433	0.0158273	0.0116758	0.0127916	0.0155354	0.0099814	0.0092946	0.0065574	0.0060335	0.0057897	0.0077808	0.003856	0.005065	0.0025986	0.0008724	0.001206	0.0011732	0.0010246	0.0009416	0.0002756	0.000813	0.0014623	0.0018059	NV
Yellow-bellied Sapsucker	0.0008497	0.0025072	0.0009287	0.0012276	0.0015677	0.0014617	0.0008573	0.0011938	0.0015751	0.000579	0.0	0.0001213	0.0	0.0004703	0.0001414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004863	0.0032134	0.0028628	0.0051973	0.0033153	0.0019296	0.0023463	0.0025615	0.0011299	0.0011022	0.001084	0.0007312	0.0006567	NV
Red-naped Sapsucker	0.0191191	0.0244937	0.0274889	0.0210219	0.0230683	0.0177234	0.0104103	0.0149224	0.0112227	0.0096506	0.0094256	0.005821	0.0063793	0.0054868	0.0059406	0.0057937	0.0050006	0.0037048	0.0071807	0.0064925	0.0063018	0.0067299	0.0086988	0.0139425	0.0173015	0.0194928	0.0146283	0.009272	0.0077753	0.0062141	0.0071959	0.0061411	0.0052459	0.0105028	0.0275591	0.0609499	0.0807626	0.0823607	0.0786676	0.0486826	0.0306319	0.0344908	0.0322746	0.0306968	0.0311381	0.0241192	0.0221789	0.0180594	NV
Red-breasted Sapsucker	0.0090639	0.0096432	0.009844	0.0099739	0.0087346	0.0071259	0.0050214	0.0049741	0.007088	0.0073345	0.0051574	0.0106718	0.0118251	0.0148926	0.0142857	0.0112012	0.0143349	0.0163631	0.0144719	0.0119557	0.0135372	0.0108086	0.0152229	0.0185899	0.0228264	0.0181681	0.0136691	0.0097871	0.0065212	0.0074092	0.0081244	0.006473	0.006776	0.0084916	0.0071792	0.0123197	0.014353	0.0136534	0.0139381	0.0116908	0.0084419	0.0098545	0.010502	0.0114878	0.0110223	0.0086721	0.0143797	0.0059104	NV
Lewis's Woodpecker	0.0019827	0.0036644	0.0013001	0.0018413	0.0011198	0.0029234	0.0015922	0.0017907	0.0011813	0.0015441	0.0014227	0.0012127	0.0029563	0.0029785	0.0009901	0.0060834	0.0140016	0.0125553	0.0082855	0.0074426	0.0061851	0.0077496	0.0080947	0.0085039	0.0135214	0.01514	0.0139089	0.0187157	0.0115375	0.0083652	0.0085887	0.0159336	0.019235	0.0254749	0.0164428	0.0197763	0.0289203	0.0200396	0.0115757	0.0073286	0.002412	0.0042234	0.001793	0.0020716	0.00248	0.001897	0.0009749	0.0004925	NV
Red-headed Woodpecker	0.0	0.0	0.0	0.0	0.0	0.0	0.0001225	0.0	0.0	0.0	0.0	0.0	0.0038898	0.0023515	0.0002829	0.0003862	0.0004445	0.0004116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NV
Acorn Woodpecker	0.001133	0.0015429	0.0016716	0.0009207	0.0020157	0.0001827	0.0004899	0.0007959	0.0013782	0.0019301	0.0003557	0.0010914	0.0004668	0.0004703	0.0001414	0.0004828	0.0010001	0.0015437	0.0005524	0.0001584	0.0002334	0.0	0.0004833	0.0	0.0001454	0.0	0.0	0.0	0.0002508	0.0	0.0	0.0	0.0008743	0.0002235	0.0002316	0.0019452	0.0010711	0.0008809	0.0007087	0.0027918	0.0002412	0.0016424	0.0005123	0.0001883	0.0005511	0.002439	0.002681	0.0006567	NV
Gila Woodpecker	0.0	0.0	0.0	0.0001534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001556	0.0	0.0001414	0.0	0.0	0.0	0.0	7.92e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NV
Red-bellied Woodpecker	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NV
American Three-toed Woodpecker	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002375	0.0003501	0.0	0.0004833	0.0003955	0.0021809	0.0026495	0.0019185	0.0025755	0.0025082	0.001673	0.0013928	0.0033195	0.0034973	0.0011173	0.0013895	0.0011347	0.0006427	0.0017617	0.0002362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NV
